,BLEU-1,BLEU-4,ROUGE-L,GreenScore,Micro-F1-14,Macro-F1-14,Micro-F1-5,Macro-F1-5,Micro-F1-14+,Macro-F1-14+,Micro-F1-5+,Macro-F1-5+,F1-RadGraph
median,37.05886932247618,14.326942572154532,0.2943162912643671,0.3278104678408762,0.5593220421300003,0.3633752598406687,0.5557352421350301,0.43627418360035053,0.5653751978451615,0.41310592410274627,0.5888736088567648,0.5089826450122619,0.2765144256762728
ci_l,36.08273257577784,13.608884289076634,0.28725692586860335,0.3180977086553759,0.5433784214252007,0.3400953438409472,0.5332485349855408,0.4143545696508922,0.5510724173850324,0.3915084233184262,0.5692679870427845,0.4859357994134101,0.2682706770831921
ci_h,38.090226288677314,15.068965747290093,0.30134731597933473,0.33907843248796765,0.5768957600037656,0.3894647310341329,0.5800227803285164,0.4607348626376073,0.5798096967329269,0.43502289112693593,0.6109957542344214,0.5351201530318165,0.2858668860942556
